origin,destination,count
AZ,AL,1677
AZ,AR,439
AZ,CA,35650
AZ,CO,12338
AZ,CT,1387
AZ,DE,541
AZ,FL,8451
AZ,GA,4292
AZ,ID,3543
AZ,IL,7657
AZ,IN,3975
AZ,IA,1411
AZ,KS,2028
AZ,KY,1818
AZ,LA,2010
AZ,ME,325
AZ,MD,945
AZ,MA,1017
AZ,MI,3840
AZ,MN,2314
AZ,MS,556
AZ,MO,2356
AZ,MT,1971
AZ,NE,1646
AZ,NV,10142
AZ,NH,246
AZ,NJ,3784
AZ,NM,7444
AZ,NY,2821
AZ,NC,4286
AZ,ND,1313
AZ,OH,6763
AZ,OK,3770
AZ,OR,7911
AZ,PA,2278
AZ,RI,214
AZ,SC,1971
AZ,SD,1422
AZ,TN,1346
AZ,TX,20073
AZ,UT,6585
AZ,VT,310
AZ,VA,4679
AZ,WA,12397
AZ,WV,50
AZ,WI,4045
AZ,WY,369
AL,AZ,833
AL,AR,691
AL,CA,2087
AL,CO,2340
AL,CT,101
AL,DE,81
AL,FL,12635
AL,GA,18799
AL,ID,263
AL,IL,2823
AL,IN,1562
AL,IA,207
AL,KS,434
AL,KY,925
AL,LA,3065
AL,ME,634
AL,MD,228
AL,MA,1201
AL,MI,3527
AL,MN,123
AL,MS,8922
AL,MO,1395
AL,MT,449
AL,NE,833
AL,NV,691
AL,NH,2087
AL,NJ,2340
AL,NM,101
AL,NY,81
AL,NC,12635
AL,ND,18799
AL,OH,263
AL,OK,2823
AL,OR,1562
AL,PA,207
AL,RI,434
AL,SC,925
AL,SD,3065
AL,TN,634
AL,TX,228
AL,UT,1201
AL,VT,3527
AL,VA,123
AL,WA,8922
AL,WV,1395
AL,WI,449
AL,WY,51
AR,AL,1642
AR,AZ,1066
AR,CA,2648
AR,CO,1615
AR,CT,84
AR,DE,0
AR,FL,3025
AR,GA,2112
AR,ID,224
AR,IL,3185
AR,IN,2016
AR,IA,433
AR,KS,998
AR,KY,1058
AR,LA,2774
AR,ME,38
AR,MD,423
AR,MA,167
AR,MI,2054
AR,MN,951
AR,MS,2315
AR,MO,6168
AR,MT,49
AR,NE,161
AR,NV,310
AR,NH,22
AR,NJ,57
AR,NM,682
AR,NY,1041
AR,NC,327
AR,ND,249
AR,OH,1952
AR,OK,6894
AR,OR,988
AR,PA,582
AR,RI,0
AR,SC,1333
AR,SD,659
AR,TN,7393
AR,TX,16461
AR,UT,422
AR,VT,0
AR,VA,645
AR,WA,756
AR,WV,225
AR,WI,335
AR,WY,174
CA,AL,3389
CA,AZ,49635
CA,AR,4077
CA,CO,23234
CA,CT,3699
CA,DE,699
CA,FL,22420
CA,GA,14949
CA,ID,9021
CA,IL,13930
CA,IN,7649
CA,IA,3297
CA,KS,4743
CA,KY,2130
CA,LA,3957
CA,ME,829
CA,MD,8595
CA,MA,11556
CA,MI,7793
CA,MN,6638
CA,MS,4723
CA,MO,8386
CA,MT,3033
CA,NE,5124
CA,NV,40114
CA,NH,547
CA,NJ,5986
CA,NM,7066
CA,NY,25761
CA,NC,15373
CA,ND,1356
CA,OH,9032
CA,OK,8233
CA,OR,34214
CA,PA,10672
CA,RI,1949
CA,SC,6592
CA,SD,1286
CA,TN,7130
CA,TX,58992
CA,UT,18237
CA,VT,819
CA,VA,19371
CA,WA,38421
CA,WV,1442
CA,WI,6637
CA,WY,2539
CO,AL,348
CO,AZ,10189
CO,AR,746
CO,CA,21245
CO,CT,1502
CO,DE,169
CO,FL,9383
CO,GA,2325
CO,ID,1813
CO,IL,3271
CO,IN,1930
CO,IA,2891
CO,KS,5030
CO,KY,221
CO,LA,1202
CO,ME,290
CO,MD,1796
CO,MA,1388
CO,MI,3425
CO,MN,2662
CO,MS,484
CO,MO,3144
CO,MT,2856
CO,NE,3245
CO,NV,2714
CO,NH,403
CO,NJ,2203
CO,NM,5525
CO,NY,3724
CO,NC,3919
CO,ND,1229
CO,OH,2690
CO,OK,3273
CO,OR,2110
CO,PA,2491
CO,RI,301
CO,SC,1000
CO,SD,1021
CO,TN,1372
CO,TX,19126
CO,UT,3986
CO,VT,529
CO,VA,4908
CO,WA,3938
CO,WV,124
CO,WI,2592
CO,WY,6905
CT,AL,2921
CT,AZ,1875
CT,AR,519
CT,CA,3073
CT,CO,1567
CT,DE,66
CT,FL,11704
CT,GA,709
CT,ID,0
CT,IL,1819
CT,IN,1227
CT,IA,424
CT,KS,412
CT,KY,176
CT,LA,358
CT,ME,2481
CT,MD,1608
CT,MA,9445
CT,MI,1656
CT,MN,74
CT,MS,54
CT,MO,1516
CT,MT,58
CT,NE,381
CT,NV,189
CT,NH,1617
CT,NJ,1924
CT,NM,0
CT,NY,15123
CT,NC,1975
CT,ND,0
CT,OH,1189
CT,OK,97
CT,OR,949
CT,PA,4150
CT,RI,2613
CT,SC,1752
CT,SD,0
CT,TN,150
CT,TX,2927
CT,UT,562
CT,VT,2105
CT,VA,5376
CT,WA,1026
CT,WV,594
CT,WI,993
CT,WY,11
DE,AL,232
DE,AZ,0
DE,AR,79
DE,CA,1302
DE,CO,501
DE,CT,62
DE,FL,1264
DE,GA,619
DE,ID,0
DE,IL,277
DE,IN,79
DE,IA,0
DE,KS,74
DE,KY,0
DE,LA,0
DE,ME,238
DE,MD,6652
DE,MA,399
DE,MI,0
DE,MN,86
DE,MS,0
DE,MO,0
DE,MT,365
DE,NE,0
DE,NV,184
DE,NH,20
DE,NJ,2100
DE,NM,0
DE,NY,1124
DE,NC,954
DE,ND,84
DE,OH,263
DE,OK,66
DE,OR,251
DE,PA,5177
DE,RI,0
DE,SC,841
DE,SD,0
DE,TN,155
DE,TX,884
DE,UT,0
DE,VT,107
DE,VA,961
DE,WA,0
DE,WV,89
DE,WI,219
DE,WY,0
FL,AL,20063
FL,AZ,3732
FL,AR,3067
FL,CA,22094
FL,CO,8075
FL,CT,4771
FL,DE,810
FL,GA,42666
FL,ID,1733
FL,IL,17548
FL,IN,8595
FL,IA,707
FL,KS,1581
FL,KY,7400
FL,LA,5193
FL,ME,4304
FL,MD,7825
FL,MA,11396
FL,MI,17712
FL,MN,2820
FL,MS,6152
FL,MO,4513
FL,MT,291
FL,NE,1105
FL,NV,2923
FL,NH,1970
FL,NJ,12907
FL,NM,2806
FL,NY,29344
FL,NC,28044
FL,ND,459
FL,OH,16492
FL,OK,6056
FL,OR,3384
FL,PA,19299
FL,RI,2230
FL,SC,15476
FL,SD,101
FL,TN,15491
FL,TX,35777
FL,UT,1643
FL,VT,366
FL,VA,17773
FL,WA,6094
FL,WV,2949
FL,WI,4338
FL,WY,1525
GA,AL,19346
GA,AZ,2206
GA,AR,1446
GA,CA,13303
GA,CO,3250
GA,CT,2000
GA,DE,639
GA,FL,38658
GA,ID,275
GA,IL,6042
GA,IN,2543
GA,IA,1938
GA,KS,1146
GA,KY,2725
GA,LA,4425
GA,ME,507
GA,MD,7113
GA,MA,3264
GA,MI,4254
GA,MN,840
GA,MS,3136
GA,MO,2964
GA,MT,231
GA,NE,434
GA,NV,1731
GA,NH,535
GA,NJ,4268
GA,NM,676
GA,NY,10584
GA,NC,16192
GA,ND,364
GA,OH,4290
GA,OK,3514
GA,OR,1946
GA,PA,4627
GA,RI,476
GA,SC,16355
