origin,destination,count
AL,AZ,392
AL,AR,443
AL,CA,2889
AL,CO,1774
AL,CT,1963
AL,DE,365
AL,FL,9179
AL,GA,18302
AL,ID,74
AL,IL,1959
AL,IN,2729
AL,IA,261
AL,KS,1323
AL,KY,1904
AL,LA,2065
AL,ME,16
AL,MD,1118
AL,MA,415
AL,MI,3334
AL,MN,526
AL,MS,6446
AL,MO,2676
AL,MT,0
AL,NE,58
AL,NV,460
AL,NH,347
AL,NJ,250
AL,NM,2420
AL,NY,2626
AL,NC,5102
AL,ND,312
AL,OH,2326
AL,OK,1313
AL,OR,1178
AL,PA,705
AL,RI,0
AL,SC,2447
AL,SD,180
AL,TN,9479
AL,TX,8538
AL,UT,336
AL,VT,64
AL,VA,2890
AL,WA,1179
AL,WV,988
AL,WI,574
AL,WY,0
AZ,AL,1183
AZ,AR,1365
AZ,CA,34040
AZ,CO,9378
AZ,CT,629
AZ,DE,494
AZ,FL,6104
AZ,GA,1747
AZ,ID,4727
AZ,IL,5238
AZ,IN,3790
AZ,IA,2142
AZ,KS,2689
AZ,KY,2014
AZ,LA,1687
AZ,ME,650
AZ,MD,3126
AZ,MA,1362
AZ,MI,3123
AZ,MN,2571
AZ,MS,242
AZ,MO,3269
AZ,MT,1786
AZ,NE,1972
AZ,NV,7681
AZ,NH,207
AZ,NJ,1270
AZ,NM,9402
AZ,NY,4099
AZ,NC,3016
AZ,ND,776
AZ,OH,3845
AZ,OK,4401
AZ,OR,4833
AZ,PA,2493
AZ,RI,446
AZ,SC,1378
AZ,SD,361
AZ,TN,3644
AZ,TX,21263
AZ,UT,10309
AZ,VT,46
AZ,VA,5651
AZ,WA,9507
AZ,WV,931
AZ,WI,2323
AZ,WY,759
AR,AL,373
AR,AZ,1818
AR,CA,3539
AR,CO,2463
AR,CT,14
AR,DE,0
AR,FL,2211
AR,GA,1720
AR,ID,586
AR,IL,2061
AR,IN,873
AR,IA,590
AR,KS,1292
AR,KY,680
AR,LA,1926
AR,ME,0
AR,MD,316
AR,MA,368
AR,MI,544
AR,MN,595
AR,MS,3833
AR,MO,5795
AR,MT,133
AR,NE,279
AR,NV,717
AR,NH,261
AR,NJ,0
AR,NM,290
AR,NY,759
AR,NC,1522
AR,ND,4
AR,OH,930
AR,OK,7671
AR,OR,457
AR,PA,798
AR,RI,0
AR,SC,555
AR,SD,56
AR,TN,5854
AR,TX,10856
AR,UT,92
AR,VT,46
AR,VA,602
AR,WA,708
AR,WV,321
AR,WI,365
AR,WY,300
CA,AL,4447
CA,AZ,46921
CA,AR,4837
CA,CO,21223
CA,CT,5041
CA,DE,575
CA,FL,22213
CA,GA,16980
CA,ID,10088
CA,IL,12828
CA,IN,5806
CA,IA,3510
CA,KS,6776
CA,KY,2985
CA,LA,2510
CA,ME,1320
CA,MD,6639
CA,MA,11981
CA,MI,6753
CA,MN,4371
CA,MS,2379
CA,MO,7509
CA,MT,2471
CA,NE,4272
CA,NV,39762
CA,NH,1231
CA,NJ,6156
CA,NM,8439
CA,NY,22916
CA,NC,13044
CA,ND,1344
CA,OH,7763
CA,OK,9264
CA,OR,32088
CA,PA,9955
CA,RI,2045
CA,SC,5290
CA,SD,2390
CA,TN,7555
CA,TX,61270
CA,UT,15623
CA,VT,793
CA,VA,17162
CA,WA,42693
CA,WV,181
CA,WI,4361
CA,WY,1581
CO,AL,1191
CO,AZ,7836
CO,AR,2497
CO,CA,16798
CO,CT,1815
CO,DE,178
CO,FL,10293
CO,GA,3921
CO,ID,1334
CO,IL,4698
CO,IN,2900
CO,IA,2691
CO,KS,4231
