origin,destination,count
AL,AZ,1805
AL,AR,2678
AL,CA,4133
AL,CO,1285
AL,CT,496
AL,DE,0
AL,FL,13015
AL,GA,14873
AL,ID,170
AL,IL,1286
AL,IN,1551
AL,IA,740
AL,KS,938
AL,KY,3863
AL,LA,2581
AL,ME,80
AL,MD,1486
AL,MA,364
AL,MI,2181
AL,MN,249
AL,MS,5924
AL,MO,2106
AL,MT,588
AL,NE,124
AL,NV,260
AL,NH,76
AL,NJ,658
AL,NM,1207
AL,NY,812
AL,NC,2497
AL,ND,77
AL,OH,1834
AL,OK,513
AL,OR,42
AL,PA,1410
AL,RI,98
AL,SC,4779
AL,SD,0
AL,TN,7438
AL,TX,8736
AL,UT,723
AL,VT,17
AL,VA,3379
AL,WA,547
AL,WV,993
AL,WI,1791
AL,WY,140
AZ,AL,1304
AZ,AR,4212
AZ,CA,31915
AZ,CO,13714
AZ,CT,262
AZ,DE,55
AZ,FL,6030
AZ,GA,5024
AZ,ID,3178
AZ,IL,5924
AZ,IN,2434
AZ,IA,1702
AZ,KS,1695
AZ,KY,1049
AZ,LA,235
AZ,ME,164
AZ,MD,1504
AZ,MA,1404
AZ,MI,2602
AZ,MN,3315
AZ,MS,659
AZ,MO,3053
AZ,MT,1867
AZ,NE,1238
AZ,NV,6618
AZ,NH,779
AZ,NJ,2138
AZ,NM,8173
AZ,NY,3761
AZ,NC,3920
AZ,ND,833
AZ,OH,4530
AZ,OK,4549
AZ,OR,8078
AZ,PA,2405
AZ,RI,844
AZ,SC,2265
AZ,SD,923
AZ,TN,3087
AZ,TX,18641
AZ,UT,7495
AZ,VT,455
AZ,VA,3286
AZ,WA,9879
AZ,WV,16
AZ,WI,2331
AZ,WY,916
AR,AL,1811
AR,AZ,1163
AR,CA,3709
AR,CO,893
AR,CT,0
AR,DE,204
AR,FL,3232
AR,GA,2851
AR,ID,225
AR,IL,2309
AR,IN,1201
AR,IA,675
AR,KS,2495
AR,KY,1076
AR,LA,2486
AR,ME,38
AR,MD,116
AR,MA,443
AR,MI,1313
AR,MN,166
AR,MS,2508
AR,MO,8100
AR,MT,0
AR,NE,365
AR,NV,668
AR,NH,164
AR,NJ,208
AR,NM,393
AR,NY,331
AR,NC,1648
AR,ND,50
AR,OH,1260
AR,OK,7936
AR,OR,420
AR,PA,1153
AR,RI,0
AR,SC,229
AR,SD,190
AR,TN,3598
AR,TX,14725
AR,UT,247
AR,VT,66
AR,VA,1061
AR,WA,944
AR,WV,30
AR,WI,2285
AR,WY,398
CA,AL,5984
CA,AZ,85497
CA,AR,9141
CA,CO,34803
CA,CT,2727
CA,DE,325
CA,FL,27658
CA,GA,24662
CA,ID,13537
CA,IL,15322
CA,IN,7374
CA,IA,6764
CA,KS,8150
CA,KY,5461
CA,LA,5286
CA,ME,1123
CA,MD,10194
CA,MA,11605
CA,MI,9623
CA,MN,9997
CA,MS,2747
CA,MO,12491
CA,MT,3460
CA,NE,5170
CA,NV,59811
CA,NH,1907
CA,NJ,7910
CA,NM,8210
CA,NY,23126
CA,NC,17613
CA,ND,1460
CA,OH,11098
CA,OK,8947
CA,OR,51295
CA,PA,10789
CA,RI,1824
CA,SC,4096
CA,SD,1536
CA,TN,10721
CA,TX,81572
CA,UT,24994
CA,VT,554
CA,VA,18797
CA,WA,53034
CA,WV,1022
CA,WI,4365
CA,WY,1200
CO,AL,1158
CO,AZ,7030
CO,AR,1766
CO,CA,15885
CO,CT,660
CO,DE,160
CO,FL,9275
CO,GA,3450
CO,ID,3428
CO,IL,5901
CO,IN,1277
CO,IA,1893
CO,KS,6752
CO,KY,1917
CO,LA,1108
CO,ME,403
CO,MD,1913
CO,MA,2711
CO,MI,2812
CO,MN,2698
CO,MS,616
CO,MO,3930
CO,MT,1445
CO,NE,5254
CO,NV,7096
CO,NH,254
CO,NJ,893
CO,NM,4782
CO,NY,2373
CO,NC,3074
CO,ND,1285
CO,OH,2065
CO,OK,2656
CO,OR,4424
CO,PA,1582
CO,RI,114
CO,SC,868
CO,SD,2196
CO,TN,1951
CO,TX,18848
CO,UT,3449
CO,VT,943
CO,VA,3140
CO,WA,5687
CO,WV,192
CO,WI,2171
CO,WY,6477
CT,AL,213
CT,AZ,1392
CT,AR,50
CT,CA,5596
CT,CO,675
CT,DE,589
CT,FL,13989
CT,GA,5580
CT,ID,58
CT,IL,2771
CT,IN,967
CT,IA,248
CT,KS,190
CT,KY,265
CT,LA,1047
CT,ME,3181
CT,MD,3683
CT,MA,13185
CT,MI,733
CT,MN,1119
CT,MS,149
CT,MO,276
CT,MT,309
CT,NE,0
CT,NV,946
CT,NH,2576
CT,NJ,2871
CT,NM,166
CT,NY,16439
CT,NC,5006
CT,ND,54
CT,OH,984
CT,OK,279
CT,OR,268
CT,PA,3708
CT,RI,2976
CT,SC,2429
CT,SD,25
CT,TN,582
CT,TX,2884
CT,UT,597
CT,VT,1709
CT,VA,4694
CT,WA,1539
CT,WV,323
CT,WI,590
CT,WY,33
DE,AL,392
DE,AZ,589
DE,AR,88
DE,CA,1339
DE,CO,345
DE,CT,160
DE,FL,1685
DE,GA,2081
DE,ID,0
DE,IL,460
DE,IN,180
DE,IA,153
DE,KS,779
DE,KY,38
DE,LA,466
DE,ME,0
DE,MD,4622
DE,MA,104
DE,MI,96
DE,MN,37
DE,MS,13
DE,MO,0
DE,MT,400
DE,NE,51
DE,NV,183
DE,NH,0
DE,NJ,2330
DE,NM,113
DE,NY,1726
DE,NC,443
DE,ND,0
DE,OH,2142
DE,OK,11
DE,OR,0
DE,PA,5940
DE,RI,81
DE,SC,361
DE,SD,0
DE,TN,60
DE,TX,223
DE,UT,0
DE,VT,0
DE,VA,993
DE,WA,112
DE,WV,335
DE,WI,0
DE,WY,0
FL,AL,19258
FL,AZ,7667
FL,AR,3666
FL,CA,27196
FL,CO,10327
FL,CT,6999
FL,DE,1613
FL,GA,75182
FL,ID,1428
FL,IL,17271
FL,IN,10469
FL,IA,2483
FL,KS,2290
FL,KY,10918
FL,LA,4853
FL,ME,4621
FL,MD,7965
FL,MA,9685
FL,MI,13738
FL,MN,3979
FL,MS,4217
FL,MO,8422
FL,MT,1846
FL,NE,2184
FL,NV,4759
FL,NH,4294
FL,NJ,9728
FL,NM,3731
FL,NY,30809
FL,NC,41059
FL,ND,516
FL,OH,22706
FL,OK,3664
FL,OR,3916
FL,PA,18837
FL,RI,1240
FL,SC,17342
FL,SD,243
FL,TN,28514
FL,TX,39872
FL,UT,2811
FL,VT,2282
FL,VA,18446
FL,WA,7442
FL,WV,3448
FL,WI,6447
FL,WY,690
GA,AL,21146
GA,AZ,3084
GA,AR,1587
GA,CA,13384
GA,CO,3039
GA,CT,1299
GA,DE,979
GA,FL,34679
GA,ID,111
GA,IL,3854
GA,IN,4010
GA,IA,503
GA,KS,3130
GA,KY,5249
GA,LA,4444
GA,ME,0
GA,MD,3797
GA,MA,2160
GA,MI,3718
GA,MN,1428
GA,MS,3082
GA,MO,3928
GA,MT,292
GA,NE,902
GA,NV,1749
GA,NH,272
GA,NJ,3596
GA,NM,1357
GA,NY,7254
GA,NC,16200
GA,ND,265
GA,OH,6776
GA,OK,1547
GA,OR,2079
GA,PA,4258
GA,RI,364
GA,SC,17998
GA,SD,245
GA,TN,13868
GA,TX,16629
GA,UT,766
GA,VT,446
GA,VA,7512
GA,WA,3194
GA,WV,1254
GA,WI,1749
GA,WY,15
ID,AL,53
ID,AZ,4668
ID,AR,392
ID,CA,6486
ID,CO,1328
ID,CT,0
ID,DE,0
ID,FL,1358
ID,GA,457
ID,IL,2069
ID,IN,363
ID,IA,328
ID,KS,43
ID,KY,265
ID,LA,313
ID,ME,0
ID,MD,222
ID,MA,186
ID,MI,508
ID,MN,220
ID,MS,0
ID,MO,557
ID,MT,1139
ID,NE,1013
ID,NV,2590
ID,NH,0
ID,NJ,643
ID,NM,278
ID,NY,97
ID,NC,1627
ID,ND,348
ID,OH,1041
ID,OK,183
ID,OR,4196
ID,PA,174
ID,RI,0
ID,SC,464
ID,SD,60
ID,TN,673
ID,TX,2055
ID,UT,9037
ID,VT,18
ID,VA,811
ID,WA,11303
ID,WV,30
ID,WI,64
ID,WY,220
IL,AL,4666
IL,AZ,9344
IL,AR,2814
IL,CA,25149
IL,CO,6728
IL,CT,1607
IL,DE,571
IL,FL,26188
IL,GA,13676
IL,ID,607
IL,IN,34027
IL,IA,12255
IL,KS,2374
IL,KY,5748
IL,LA,1473
IL,ME,50
IL,MD,2655
IL,MA,4220
IL,MI,12623
IL,MN,9964
IL,MS,3095
IL,MO,19044
IL,MT,734
IL,NE,1234
IL,NV,3669
IL,NH,313
IL,NJ,2640
IL,NM,2303
IL,NY,7110
IL,NC,6496
IL,ND,236
IL,OH,8776
IL,OK,2278
IL,OR,1399
IL,PA,3360
IL,RI,277
IL,SC,4100
IL,SD,647
IL,TN,5337
IL,TX,24132
IL,UT,1630
IL,VT,35
IL,VA,12983
IL,WA,7825
IL,WV,651
IL,WI,20852
IL,WY,397
IN,AL,3178
IN,AZ,3537
IN,AR,866
IN,CA,6972
IN,CO,1433
IN,CT,236
IN,DE,391
IN,FL,13454
IN,GA,6948
IN,ID,86
IN,IL,20749
IN,IA,2862
IN,KS,994
IN,KY,12264
IN,LA,889
IN,ME,351
IN,MD,1206
IN,MA,1680
IN,MI,7867
IN,MN,2606
IN,MS,1829
IN,MO,1699
IN,MT,270
IN,NE,732
IN,NV,2085
IN,NH,146
IN,NJ,790
IN,NM,359
IN,NY,1618
IN,NC,4367
IN,ND,0
IN,OH,10220
IN,OK,933
IN,OR,541
IN,PA,3602
IN,RI,346
IN,SC,2961
IN,SD,492
IN,TN,6046
IN,TX,12553
IN,UT,1164
IN,VT,0
IN,VA,3579
IN,WA,2197
IN,WV,98
IN,WI,2012
IN,WY,349
IA,AL,893
IA,AZ,5035
IA,AR,889
