origin,destination,count
AL,AZ,416
AL,AR,1405
AL,CA,3364
AL,CO,954
AL,CT,896
AL,DE,128
AL,FL,15830
AL,GA,13840
AL,ID,376
AL,IL,1397
AL,IN,1502
AL,IA,330
AL,KS,44
AL,KY,2161
AL,LA,5740
AL,ME,402
AL,MD,1641
AL,MA,583
AL,MI,2403
AL,MN,266
AL,MS,8306
AL,MO,819
AL,MT,212
AL,NE,232
AL,NV,150
AL,NH,152
AL,NJ,616
AL,NM,751
AL,NY,1310
AL,NC,3044
AL,ND,109
AL,OH,1289
AL,OK,1612
AL,OR,400
AL,PA,369
AL,RI,136
AL,SC,1741
AL,SD,325
AL,TN,8897
AL,TX,8636
AL,UT,93
AL,VT,0
AL,VA,2671
AL,WA,1322
AL,WV,41
AL,WI,552
AL,WY,172
AZ,AL,676
AZ,AR,777
AZ,CA,33854
AZ,CO,12287
AZ,CT,664
AZ,DE,60
AZ,FL,3907
AZ,GA,2554
AZ,ID,3086
AZ,IL,5921
AZ,IN,2210
AZ,IA,1483
AZ,KS,2238
AZ,KY,2598
AZ,LA,1960
AZ,ME,254
AZ,MD,1124
AZ,MA,1572
AZ,MI,3197
AZ,MN,4165
AZ,MS,187
AZ,MO,2988
AZ,MT,1909
AZ,NE,2322
AZ,NV,7818
AZ,NH,544
AZ,NJ,1625
AZ,NM,6117
AZ,NY,2649
AZ,NC,2847
AZ,ND,662
AZ,OH,4715
AZ,OK,2759
AZ,OR,5264
AZ,PA,3668
AZ,RI,324
AZ,SC,1457
AZ,SD,745
AZ,TN,2291
AZ,TX,16521
AZ,UT,8147
AZ,VT,65
AZ,VA,3807
AZ,WA,5971
AZ,WV,0
AZ,WI,1854
AZ,WY,1511
AR,AL,1481
AR,AZ,689
AR,CA,4172
AR,CO,1034
AR,CT,334
AR,DE,0
AR,FL,3611
AR,GA,599
AR,ID,45
AR,IL,1194
AR,IN,1548
AR,IA,247
AR,KS,1596
AR,KY,558
AR,LA,2382
AR,ME,67
AR,MD,273
AR,MA,206
AR,MI,636
AR,MN,279
AR,MS,4941
AR,MO,4381
AR,MT,672
AR,NE,674
AR,NV,530
AR,NH,0
AR,NJ,258
AR,NM,77
AR,NY,362
AR,NC,550
AR,ND,168
AR,OH,434
AR,OK,5873
AR,OR,246
AR,PA,807
AR,RI,0
AR,SC,365
AR,SD,61
AR,TN,4736
AR,TX,15251
AR,UT,316
AR,VT,0
AR,VA,1233
AR,WA,658
AR,WV,0
AR,WI,518
AR,WY,0
CA,AL,3827
CA,AZ,47164
CA,AR,4457
CA,CO,26089
CA,CT,4479
CA,DE,353
CA,FL,22130
CA,GA,8909
CA,ID,8932
CA,IL,16205
CA,IN,8959
CA,IA,2847
CA,KS,6125
CA,KY,3779
CA,LA,5751
CA,ME,1066
CA,MD,8206
CA,MA,14971
CA,MI,6726
CA,MN,6233
CA,MS,3000
CA,MO,9840
CA,MT,5756
CA,NE,4430
CA,NV,35472
CA,NH,1692
CA,NJ,8777
CA,NM,6547
CA,NY,25177
CA,NC,16699
CA,ND,1411
CA,OH,8997
CA,OK,9429
CA,OR,34190
CA,PA,12077
CA,RI,1697
CA,SC,4691
CA,SD,1338
CA,TN,8019
CA,TX,68959
CA,UT,12187
CA,VT,1001
CA,VA,17088
CA,WA,39468
CA,WV,760
CA,WI,4506
CA,WY,2784
CO,AL,1278
CO,AZ,7687
CO,AR,2535
CO,CA,15662
CO,CT,547
CO,DE,178
CO,FL,6428
CO,GA,3224
CO,ID,1372
CO,IL,3850
CO,IN,1362
CO,IA,2554
CO,KS,6022
CO,KY,329
CO,LA,1215
CO,ME,478
CO,MD,2501
CO,MA,1051
CO,MI,2031
CO,MN,2521
CO,MS,1167
CO,MO,1903
CO,MT,2185
CO,NE,4182
CO,NV,2935
CO,NH,240
CO,NJ,807
CO,NM,2852
CO,NY,3135
CO,NC,1842
CO,ND,873
CO,OH,2859
CO,OK,3184
CO,OR,2050
CO,PA,3657
CO,RI,59
CO,SC,1867
CO,SD,807
CO,TN,1858
CO,TX,16361
CO,UT,3987
CO,VT,326
CO,VA,3229
CO,WA,4883
CO,WV,608
CO,WI,1890
CO,WY,4390
CT,AL,454
CT,AZ,479
CT,AR,451
CT,CA,4631
CT,CO,459
CT,DE,714
CT,FL,11183
CT,GA,2619
CT,ID,0
CT,IL,2264
CT,IN,544
CT,IA,114
CT,KS,85
CT,KY,698
CT,LA,89
CT,ME,1361
CT,MD,1603
CT,MA,13270
CT,MI,277
CT,MN,211
CT,MS,71
CT,MO,243
CT,MT,128
CT,NE,361
CT,NV,648
CT,NH,3134
CT,NJ,2503
CT,NM,25
CT,NY,15338
CT,NC,3752
CT,ND,30
CT,OH,1307
CT,OK,68
CT,OR,270
CT,PA,4007
CT,RI,4090
CT,SC,3998
CT,SD,0
CT,TN,765
CT,TX,924
CT,UT,119
CT,VT,1287
CT,VA,2468
CT,WA,642
CT,WV,84
CT,WI,359
CT,WY,0
DE,AL,811
DE,AZ,738
DE,AR,0
DE,CA,643
DE,CO,486
DE,CT,149
DE,FL,3099
DE,GA,837
DE,ID,0
DE,IL,56
DE,IN,0
DE,IA,0
DE,KS,238
DE,KY,38
DE,LA,0
DE,ME,174
DE,MD,8340
DE,MA,131
DE,MI,167
DE,MN,176
DE,MS,0
DE,MO,314
DE,MT,71
DE,NE,177
DE,NV,0
DE,NH,0
DE,NJ,1543
DE,NM,391
DE,NY,2603
DE,NC,479
DE,ND,0
DE,OH,15
DE,OK,109
DE,OR,0
DE,PA,4608
DE,RI,0
DE,SC,249
DE,SD,0
DE,TN,248
DE,TX,704
DE,UT,0
DE,VT,87
DE,VA,1265
DE,WA,202
DE,WV,556
DE,WI,351
DE,WY,0
FL,AL,15062
FL,AZ,7712
FL,AR,3578
FL,CA,20362
FL,CO,8849
FL,CT,9207
FL,DE,2362
FL,GA,49901
FL,ID,612
FL,IL,8051
FL,IN,5496
FL,IA,1364
FL,KS,2863
FL,KY,10119
FL,LA,9394
FL,ME,3025
FL,MD,6564
FL,MA,11118
FL,MI,11646
FL,MN,2575
FL,MS,4814
FL,MO,8317
FL,MT,1373
FL,NE,1775
FL,NV,3579
FL,NH,1659
FL,NJ,9841
FL,NM,3259
FL,NY,30553
FL,NC,28983
FL,ND,492
FL,OH,16495
FL,OK,5438
FL,OR,2273
FL,PA,18212
FL,RI,1336
FL,SC,16060
FL,SD,251
FL,TN,14168
FL,TX,26668
FL,UT,2097
FL,VT,2063
FL,VA,18165
FL,WA,5378
FL,WV,1842
FL,WI,4492
FL,WY,396
GA,AL,21644
GA,AZ,4261
GA,AR,3921
