origin,destination,count
AL,AZ,1678
AL,AR,2065
AL,CA,2527
AL,CO,1958
AL,CT,205
AL,DE,185
AL,FL,13391
AL,GA,17724
AL,ID,67
AL,IL,2554
AL,IN,1317
AL,IA,511
AL,KS,971
AL,KY,1471
AL,LA,4810
AL,ME,228
AL,MD,1744
AL,MA,268
AL,MI,2751
AL,MN,477
AL,MS,10295
AL,MO,1790
AL,MT,266
AL,NE,313
AL,NV,1234
AL,NH,203
AL,NJ,824
AL,NM,413
AL,NY,1265
AL,NC,3817
AL,ND,0
AL,OH,1544
AL,OK,744
AL,OR,889
AL,PA,861
AL,RI,0
AL,SC,2337
AL,SD,135
AL,TN,11797
AL,TX,8086
AL,UT,877
AL,VT,122
AL,VA,4288
AL,WA,489
AL,WV,315
AL,WI,302
AL,WY,29
AZ,AL,1005
AZ,AR,930
AZ,CA,33629
AZ,CO,10752
AZ,CT,701
AZ,DE,324
AZ,FL,3872
AZ,GA,4385
AZ,ID,4701
AZ,IL,5847
AZ,IN,3301
AZ,IA,2699
AZ,KS,1914
AZ,KY,1047
AZ,LA,529
AZ,ME,858
AZ,MD,2225
AZ,MA,1527
AZ,MI,3351
AZ,MN,2915
AZ,MS,1093
AZ,MO,3627
AZ,MT,806
AZ,NE,3045
AZ,NV,6981
AZ,NH,451
AZ,NJ,426
AZ,NM,11013
AZ,NY,3033
AZ,NC,3613
AZ,ND,382
AZ,OH,3007
AZ,OK,4193
AZ,OR,7024
AZ,PA,4251
AZ,RI,137
AZ,SC,1090
AZ,SD,1037
AZ,TN,2918
AZ,TX,16002
AZ,UT,7588
AZ,VT,128
AZ,VA,3605
AZ,WA,7581
AZ,WV,309
AZ,WI,2572
AZ,WY,2223
AR,AL,1580
AR,AZ,1432
AR,CA,4098
AR,CO,2261
AR,CT,219
AR,DE,0
AR,FL,1883
AR,GA,2285
AR,ID,0
AR,IL,4378
AR,IN,567
AR,IA,707
AR,KS,2595
AR,KY,970
AR,LA,4693
AR,ME,0
AR,MD,80
AR,MA,267
AR,MI,1077
AR,MN,1374
AR,MS,2954
AR,MO,8252
AR,MT,387
AR,NE,681
AR,NV,418
AR,NH,229
AR,NJ,215
AR,NM,159
AR,NY,618
AR,NC,2316
AR,ND,62
AR,OH,435
AR,OK,7690
AR,OR,425
AR,PA,2428
AR,RI,0
AR,SC,741
AR,SD,246
AR,TN,3667
AR,TX,16860
AR,UT,0
AR,VT,110
AR,VA,1658
AR,WA,1017
AR,WV,0
AR,WI,516
AR,WY,165
CA,AL,4643
CA,AZ,65684
CA,AR,7139
CA,CO,29278
CA,CT,4376
CA,DE,214
CA,FL,20661
CA,GA,21454
CA,ID,10146
CA,IL,14173
CA,IN,7380
CA,IA,4489
CA,KS,5735
CA,KY,5596
CA,LA,8747
CA,ME,3162
CA,MD,6349
CA,MA,9526
CA,MI,8272
CA,MN,5824
CA,MS,2659
CA,MO,14205
CA,MT,5484
CA,NE,4105
CA,NV,53489
CA,NH,1500
CA,NJ,5407
CA,NM,9323
CA,NY,21844
CA,NC,15680
CA,ND,1340
CA,OH,12056
CA,OK,15936
CA,OR,35942
CA,PA,11173
CA,RI,1243
CA,SC,7583
CA,SD,1529
CA,TN,11389
CA,TX,78310
CA,UT,22204
CA,VT,1558
CA,VA,17437
CA,WA,43361
CA,WV,986
CA,WI,5063
CA,WY,3185
CO,AL,981
CO,AZ,10555
CO,AR,1148
CO,CA,23652
CO,CT,1156
CO,DE,484
CO,FL,10966
CO,GA,3194
CO,ID,2707
CO,IL,4045
CO,IN,2372
CO,IA,1737
CO,KS,3885
CO,KY,1387
CO,LA,1631
CO,ME,718
CO,MD,1352
CO,MA,2044
CO,MI,3455
CO,MN,3960
CO,MS,1279
CO,MO,4320
CO,MT,1916
CO,NE,3277
CO,NV,3871
CO,NH,243
CO,NJ,917
CO,NM,5273
CO,NY,3837
CO,NC,3198
CO,ND,1367
CO,OH,2448
CO,OK,5671
CO,OR,3479
CO,PA,1288
CO,RI,0
CO,SC,1486
CO,SD,641
CO,TN,3176
CO,TX,18577
CO,UT,5066
CO,VT,518
CO,VA,6681
CO,WA,7413
CO,WV,529
CO,WI,1465
CO,WY,3602
CT,AL,514
CT,AZ,1026
CT,AR,508
CT,CA,6930
CT,CO,3270
CT,DE,539
CT,FL,13719
CT,GA,3380
CT,ID,0
CT,IL,1298
CT,IN,578
CT,IA,0
CT,KS,97
CT,KY,1758
CT,LA,205
CT,ME,1118
CT,MD,846
