origin,destination,count
AL,AL,580353
AL,AZ,1427
AL,AR,1894
AL,CA,4375
AL,CO,1495
AL,CT,520
AL,DE,546
AL,FL,10559
AL,GA,22111
AL,ID,185
AL,IL,1551
AL,IN,664
AL,IA,343
AL,KS,1048
AL,KY,761
AL,LA,2979
AL,ME,0
AL,MD,1808
AL,MA,244
AL,MI,1317
AL,MN,423
AL,MS,4830
AL,MO,908
AL,MT,299
AL,NE,42
AL,NV,154
AL,NH,27
AL,NJ,367
AL,NM,593
AL,NY,1486
AL,NC,3858
AL,ND,0
AL,OH,2469
AL,OK,877
AL,OR,1223
AL,PA,950
AL,RI,88
AL,SC,2254
AL,SD,0
AL,TN,8546
AL,TX,7042
AL,UT,0
AL,VT,0
AL,VA,2150
AL,WA,184
AL,WV,347
AL,WI,2275
AL,WY,268
AZ,AL,574
AZ,AZ,917186
AZ,AR,1266
AZ,CA,28156
AZ,CO,7018
AZ,CT,49
AZ,DE,216
AZ,FL,5962
AZ,GA,3395
AZ,ID,2259
AZ,IL,5050
AZ,IN,2393
AZ,IA,2010
AZ,KS,2101
AZ,KY,1106
AZ,LA,735
AZ,ME,365
AZ,MD,1878
AZ,MA,649
AZ,MI,2241
AZ,MN,2287
AZ,MS,529
AZ,MO,4215
AZ,MT,1102
AZ,NE,1190
AZ,NV,6036
AZ,NH,394
AZ,NJ,2018
AZ,NM,7790
AZ,NY,3394
AZ,NC,2705
AZ,ND,709
AZ,OH,3310
AZ,OK,2945
AZ,OR,5775
AZ,PA,2957
AZ,RI,438
AZ,SC,1279
AZ,SD,612
AZ,TN,874
AZ,TX,12180
AZ,UT,6222
AZ,VT,92
AZ,VA,2251
AZ,WA,12125
AZ,WV,399
AZ,WI,2197
AZ,WY,1229
AR,AL,3168
AR,AZ,1845
AR,AR,390364
AR,CA,2481
AR,CO,1218
AR,CT,0
AR,DE,344
AR,FL,3300
AR,GA,1178
AR,ID,0
AR,IL,2549
AR,IN,226
AR,IA,812
AR,KS,1404
AR,KY,1616
AR,LA,2882
AR,ME,254
AR,MD,542
AR,MA,94
AR,MI,733
AR,MN,272
AR,MS,1875
AR,MO,8218
AR,MT,159
AR,NE,35
AR,NV,334
AR,NH,0
AR,NJ,37
AR,NM,1540
AR,NY,758
AR,NC,916
AR,ND,62
AR,OH,639
AR,OK,6745
AR,OR,1422
AR,PA,735
AR,RI,0
AR,SC,199
AR,SD,0
AR,TN,5197
AR,TX,9653
AR,UT,77
AR,VT,0
AR,VA,387
AR,WA,681
AR,WV,56
AR,WI,992
AR,WY,178
CA,AL,3025
CA,AZ,94296
CA,AR,6167
CA,CA,4904586
CA,CO,25350
CA,CT,3979
CA,DE,933
CA,FL,29152
CA,GA,20673
CA,ID,15663
CA,IL,18821
CA,IN,7181
CA,IA,4962
CA,KS,6823
CA,KY,3909
CA,LA,6029
CA,ME,3072
CA,MD,8288
CA,MA,7511
CA,MI,7631
CA,MN,9128
CA,MS,4724
CA,MO,11955
CA,MT,6045
CA,NE,3710
CA,NV,56135
CA,NH,1366
CA,NJ,7809
CA,NM,12620
CA,NY,18568
CA,NC,14989
CA,ND,1435
CA,OH,11049
CA,OK,8520
CA,OR,56379
CA,PA,11802
CA,RI,1856
CA,SC,3554
CA,SD,1055
CA,TN,12254
CA,TX,74777
CA,UT,17879
CA,VT,290
CA,VA,16065
CA,WA,47720
CA,WV,369
CA,WI,6743
CA,WY,3353
CO,AL,1922
CO,AZ,11512
CO,AR,1999
CO,CA,14321
CO,CO,706496
CO,CT,887
CO,DE,211
CO,FL,8002
CO,GA,3488
CO,ID,2425
CO,IL,4401
CO,IN,1219
CO,IA,2337
CO,KS,4050
CO,KY,919
CO,LA,787
CO,ME,869
CO,MD,1227
CO,MA,658
CO,MI,2289
CO,MN,2894
CO,MS,1090
CO,MO,3279
CO,MT,2219
CO,NE,2710
CO,NV,2054
CO,NH,27
CO,NJ,1161
CO,NM,7288
CO,NY,3101
CO,NC,2306
CO,ND,570
CO,OH,3466
CO,OK,3287
CO,OR,4905
CO,PA,1670
CO,RI,317
CO,SC,1025
CO,SD,1507
CO,TN,1494
CO,TX,15769
CO,UT,4881
CO,VT,422
CO,VA,3598
CO,WA,6464
CO,WV,187
CO,WI,2799
CO,WY,4123
CT,AL,321
CT,AZ,1809
CT,AR,66
CT,CA,7248
CT,CO,565
CT,CT,299172
CT,DE,13
CT,FL,12609
CT,GA,3680
CT,ID,251
CT,IL,966
CT,IN,511
CT,IA,167
CT,KS,736
CT,KY,400
CT,LA,231
CT,ME,2161
CT,MD,1393
CT,MA,8274
CT,MI,1064
CT,MN,905
CT,MS,0
CT,MO,555
CT,MT,488
CT,NE,419
CT,NV,631
CT,NH,1277
CT,NJ,4694
CT,NM,462
CT,NY,9239
CT,NC,4292
CT,ND,382
CT,OH,1506
CT,OK,193
CT,OR,374
CT,PA,3826
CT,RI,1247
CT,SC,1488
CT,SD,0
CT,TN,690
CT,TX,2210
CT,UT,385
CT,VT,1936
CT,VA,3580
CT,WA,952
CT,WV,0
CT,WI,522
CT,WY,0
DE,AL,563
DE,AZ,240
DE,AR,0
DE,CA,807
DE,CO,123
DE,CT,186
DE,DE,90435
DE,FL,1441
DE,GA,650
DE,ID,0
DE,IL,357
DE,IN,64
DE,IA,0
DE,KS,81
DE,KY,99
DE,LA,0
DE,ME,0
DE,MD,4431
DE,MA,127
DE,MI,105
DE,MN,0
DE,MS,215
DE,MO,0
DE,MT,40
DE,NE,54
DE,NV,87
DE,NH,0
DE,NJ,1300
DE,NM,0
DE,NY,375
DE,NC,0
DE,ND,0
DE,OH,1022
DE,OK,0
DE,OR,0
DE,PA,7211
DE,RI,0
DE,SC,10
DE,SD,0
DE,TN,436
DE,TX,817
DE,UT,0
DE,VT,0
DE,VA,439
DE,WA,329
DE,WV,263
DE,WI,0
DE,WY,0
FL,AL,15641
FL,AZ,7184
FL,AR,5223
FL,CA,25252
FL,CO,8463
FL,CT,5265
FL,DE,1984
FL,FL,2415250
FL,GA,54126
FL,ID,1393
FL,IL,15093
FL,IN,9076
FL,IA,3150
FL,KS,2879
FL,KY,9787
FL,LA,5246
FL,ME,3541
FL,MD,8603
FL,MA,7467
FL,MI,12757
FL,MN,3033
FL,MS,3889
FL,MO,5232
FL,MT,1342
FL,NE,2075
FL,NV,3846
FL,NH,1225
FL,NJ,14423
FL,NM,3945
FL,NY,25513
FL,NC,29017
FL,ND,872
FL,OH,16400
FL,OK,6340
FL,OR,2191
FL,PA,14676
FL,RI,1038
FL,SC,13403
FL,SD,668
FL,TN,18963
FL,TX,31340
FL,UT,3458
FL,VT,1382
FL,VA,18517
FL,WA,6468
FL,WV,3691
FL,WI,4220
FL,WY,555
GA,AL,17776
GA,AZ,630
GA,AR,1082
GA,CA,9788
GA,CO,3072
GA,CT,752
GA,DE,600
GA,FL,42557
GA,GA,1227339
GA,ID,179
GA,IL,4102
GA,IN,2415
GA,IA,1746
GA,KS,1571
GA,KY,3947
GA,LA,4071
GA,ME,1298
GA,MD,3592
GA,MA,1459
GA,MI,3091
GA,MN,1112
GA,MS,4699
GA,MO,1945
GA,MT,315
GA,NE,256
GA,NV,1142
GA,NH,1010
GA,NJ,3543
GA,NM,733
GA,NY,8319
GA,NC,17003
GA,ND,0
GA,OH,5584
GA,OK,3580
GA,OR,1009
GA,PA,3998
GA,RI,229
GA,SC,16001
GA,SD,149
GA,TN,15621
GA,TX,17285
GA,UT,876
GA,VT,0
GA,VA,9163
GA,WA,3057
GA,WV,2500
GA,WI,978
GA,WY,0
ID,AL,162
ID,AZ,2940
ID,AR,171
ID,CA,5123
ID,CO,1383
ID,CT,0
ID,DE,222
ID,FL,608
ID,GA,698
ID,ID,205442
ID,IL,436
ID,IN,43
ID,IA,64
ID,KS,40
ID,KY,0
ID,LA,98
ID,ME,35
ID,MD,512
ID,MA,36
ID,MI,619
ID,MN,459
ID,MS,0
ID,MO,185
ID,MT,1030
ID,NE,387
ID,NV,1478
ID,NH,0
ID,NJ,44
ID,NM,187
ID,NY,416
ID,NC,49
ID,ND,62
ID,OH,49
ID,OK,1044
ID,OR,7633
ID,PA,126
ID,RI,0
ID,SC,333
ID,SD,163
ID,TN,131
ID,TX,1430
ID,UT,5086
ID,VT,0
ID,VA,1419
ID,WA,10244
ID,WV,65
ID,WI,48
ID,WY,1153
IL,AL,3410
IL,AZ,11523
IL,AR,3618
IL,CA,15848
IL,CO,3889
IL,CT,1841
IL,DE,688
